"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gcnt2_ENSMUSG00000021360","CD103+","Nb","PBS",FALSE,250.801600223628,1.99505014441054,0.32208046480188,6.19426001399293,5.8559488966888e-10,3.12456701844752e-07
"Ramp3_ENSMUSG00000041046","CD103+","Nb","PBS",FALSE,173.088718051193,1.96307380504232,0.355296044942489,5.5251777580583,3.29152184140213e-08,8.78131005545496e-06
"Fam71a_ENSMUSG00000091017","CD103+","Nb","PBS",FALSE,93.7258562397121,1.92562053968874,0.24585336235146,7.8323945675226,4.78664555392679e-15,6.70429542896872e-12
"Plac8_ENSMUSG00000029322","CD103+","Nb","PBS",FALSE,218.714437401028,1.67325900769549,0.295851332868751,5.65574267139707,1.55173810230449e-08,4.57558564113733e-06
"Clec10a_ENSMUSG00000000318","CD103+","Nb","PBS",FALSE,34.7354406088743,1.57229197249291,0.315480906030687,4.98379439908156,6.23493305009609e-07,0.000116437374710544
"Ly6d_ENSMUSG00000034634","CD103+","Nb","PBS",FALSE,51.3168878538352,1.56179129007078,0.274764113024618,5.68411672426396,1.31490452019406e-08,4.20957289964985e-06
"Ifit3_ENSMUSG00000074896","CD103+","Nb","PBS",FALSE,35.575031658212,1.50384707043415,0.283525016765887,5.30410715635689,1.13225791191518e-07,2.643114563127e-05
"Ly6a_ENSMUSG00000075602","CD103+","Nb","PBS",FALSE,80.2586947090339,1.44638835370247,0.199855481482784,7.23717129483417,4.58139374377279e-13,5.13345168989741e-10
"Il1b_ENSMUSG00000027398","CD103+","Nb","PBS",FALSE,2916.37608413845,1.43764789976345,0.216752697084496,6.63266441018271,3.29680794421406e-11,2.42844210204631e-08
"Slco4a1_ENSMUSG00000038963","CD103+","Nb","PBS",FALSE,21.7159579700154,1.42632235994842,0.335218736841857,4.25490046703836,2.09142028034122e-05,0.00216984854085402
"Gm13546_ENSMUSG00000086862","CD103+","Nb","PBS",FALSE,247.370375607424,1.40101646803126,0.203372185874442,6.88892860155527,5.62141421467245e-12,5.2489955229504e-09
"Cxcl9_ENSMUSG00000029417","CD103+","Nb","PBS",FALSE,129.797859916345,1.39960286942985,0.338306395248547,4.13708664419894,3.51743315998912e-05,0.00325313969810122
"Pltp_ENSMUSG00000017754","CD103+","Nb","PBS",FALSE,89.4606830298705,1.38023109554543,0.248907391474497,5.54515913476536,2.93686942845113e-08,8.02624925507193e-06
"Pla1a_ENSMUSG00000002847","CD103+","Nb","PBS",FALSE,122.344809627312,1.34928781465498,0.233182919102131,5.78639215878417,7.19142178866922e-09,2.51812128568871e-06
"Ddr1_ENSMUSG00000003534","CD103+","Nb","PBS",FALSE,131.822638375732,1.33349441437344,0.258642951338018,5.1557346043067,2.52638509840537e-07,5.44387404377541e-05
"Ceacam15_ENSMUSG00000078795","CD103+","Nb","PBS",FALSE,84.5772551838968,1.32438563978121,0.320737265417125,4.12919165491674,3.64040858715195e-05,0.00331632343244208
"Epha2_ENSMUSG00000006445","CD103+","Nb","PBS",FALSE,24.7385960639221,1.31359297513756,0.292744680184977,4.48716258245083,7.21779947388925e-06,0.00102373978613834
"Cytip_ENSMUSG00000026832","CD103+","Nb","PBS",FALSE,8826.18753893768,1.30840917685979,0.145759858096653,8.97647125858336,2.795897909377e-19,1.04426786915231e-15
"Elovl6_ENSMUSG00000041220","CD103+","Nb","PBS",FALSE,21.6076247086638,1.27195004260589,0.32066730691747,3.96657225469277,7.29136783002328e-05,0.00563446734726971
"Ccin_ENSMUSG00000070999","CD103+","Nb","PBS",FALSE,77.5426387114489,1.27002075551446,0.234580083120215,5.41401784252763,6.16260213509223e-08,1.56936265735701e-05
"Acsf2_ENSMUSG00000076435","CD103+","Nb","PBS",FALSE,53.5278753871419,1.23512904589564,0.294510125249024,4.19384238437058,2.74268588851356e-05,0.00271962790980481
"Ifi44_ENSMUSG00000028037","CD103+","Nb","PBS",FALSE,21.1177649238461,1.2233259827705,0.306875884174576,3.98638682886718,6.70871042297242e-05,0.00529373945700042
"Socs3_ENSMUSG00000053113","CD103+","Nb","PBS",FALSE,645.084427343387,1.19714126555375,0.245069475574415,4.88490564868507,1.03478393662483e-06,0.000187012161449697
"Gm29666_ENSMUSG00000100967","CD103+","Nb","PBS",FALSE,41.4786757347323,1.18306095931875,0.297828746009716,3.97228600385053,7.11861777481463e-05,0.00553917445602763
"Gm26802_ENSMUSG00000097266","CD103+","Nb","PBS",FALSE,41.1791481537106,1.16263917321611,0.298073224880828,3.90051529680648,9.59881605681841e-05,0.0069390150913968
"Hmox1_ENSMUSG00000005413","CD103+","Nb","PBS",FALSE,37.2132816146589,1.1454994411546,0.276992594485583,4.13548760493746,3.54201734197545e-05,0.00325313969810122
